日期,新建商品住宅销售价格指数(上月=100),城市,类别123,类别0123,date,销售价格变动,hp
2015年1月,99.3,泸州,3,3,2015-01-01,-0.007000000000000006,1.3298112163160374
2014年12月,98.7,泸州,3,3,2014-12-01,-0.013000000000000012,1.3391855149204808
2014年11月,99.5,泸州,3,3,2014-11-01,-0.0050000000000000044,1.3568242299093016
2014年10月,99.3,泸州,3,3,2014-10-01,-0.007000000000000006,1.3636424421199012
2014年9月,98.1,泸州,3,3,2014-09-01,-0.019000000000000017,1.3732552287209479
2014年8月,98.6,泸州,3,3,2014-08-01,-0.014000000000000012,1.399852424791996
2014年7月,98.2,泸州,3,3,2014-07-01,-0.018000000000000016,1.4197286255496917
2014年6月,99.2,泸州,3,3,2014-06-01,-0.008000000000000007,1.4457521645108877
2014年5月,100.1,泸州,3,3,2014-05-01,0.0009999999999998899,1.457411456160169
2014年4月,100.2,泸州,3,3,2014-04-01,0.0020000000000000018,1.4559555006595097
2014年3月,100.3,泸州,3,3,2014-03-01,0.0029999999999998916,1.4530494018557982
2014年2月,100.3,泸州,3,3,2014-02-01,0.0029999999999998916,1.4487032919798588
2014年1月,100.6,泸州,3,3,2014-01-01,0.006000000000000005,1.4443701814355523
2013年12月,100.8,泸州,3,3,2013-12-01,0.008000000000000007,1.4357556475502509
2013年11月,100.4,泸州,3,3,2013-11-01,0.0040000000000000036,1.4243607614585823
2013年10月,100.5,泸州,3,3,2013-10-01,0.004999999999999893,1.418686017389026
2013年9月,101.9,泸州,3,3,2013-09-01,0.019000000000000128,1.411627877999031
2013年8月,101.1,泸州,3,3,2013-08-01,0.010999999999999899,1.385307044159991
2013年7月,101.0,泸州,3,3,2013-07-01,0.010000000000000009,1.3702344650445017
2013年6月,99.9,泸州,3,3,2013-06-01,-0.0009999999999998899,1.356667787172774
2013年5月,100.0,泸州,3,3,2013-05-01,0.0,1.3580258129857596
2013年4月,100.9,泸州,3,3,2013-04-01,0.009000000000000119,1.3580258129857596
2013年3月,101.2,泸州,3,3,2013-03-01,0.01200000000000001,1.3459125995894543
2013年2月,100.8,泸州,3,3,2013-02-01,0.008000000000000007,1.3299531616496585
2013年1月,100.5,泸州,3,3,2013-01-01,0.004999999999999893,1.3193979778270422
2012年12月,100.5,泸州,3,3,2012-12-01,0.004999999999999893,1.3128338087831266
2012年11月,101.0,泸州,3,3,2012-11-01,0.010000000000000009,1.3063022972966436
2012年10月,99.7,泸州,3,3,2012-10-01,-0.0030000000000000027,1.2933686111847957
2012年9月,99.9,泸州,3,3,2012-09-01,-0.0009999999999998899,1.2972603923618813
2012年8月,100.1,泸州,3,3,2012-08-01,0.0009999999999998899,1.2985589513131943
2012年7月,100.4,泸州,3,3,2012-07-01,0.0040000000000000036,1.297261689623571
2012年6月,100.2,泸州,3,3,2012-06-01,0.0020000000000000018,1.2920933163581383
